Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
The Godfather: Part III,1990,162,7.6,,365307,Francis Ford Coppola,"Al Pacino, Diane Keaton, Andy Garcia, Talia Shire",66.67,Crime
When Harry Met Sally...,1989,95,7.6,76.0,198285,Rob Reiner,"Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby",92.82,Comedy
The Little Mermaid,1989,83,7.6,88.0,240546, John Musker,"Jodi Benson, Samuel E. Wright, Rene Auberjonois, Christopher Daniel Barnes",111.54,Animation
The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76.0,154996,David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban",78.76,Comedy
"Planes, Trains & Automobiles",1987,93,7.6,72.0,126121,John Hughes,"Steve Martin, John Candy, Laila Robins, Michael McKean",49.53,Comedy
Lethal Weapon,1987,109,7.6,68.0,239246,Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan",65.21,Action
Blood Simple,1984,99,7.6,83.0,89221, Ethan Coen,"John Getz, Frances McDormand, Dan Hedaya, M. Emmet Walsh",2.15,Crime
On Golden Pond,1981,109,7.6,68.0,28036,Mark Rydell,"Katharine Hepburn, Henry Fonda, Jane Fonda, Doug McKeon",119.29,Drama
Mad Max 2,1981,96,7.6,77.0,168134,George Miller,"Mel Gibson, Bruce Spence, Michael Preston, Max Phipps",12.47,Action
The Warriors,1979,92,7.6,65.0,95034,Walter Hill,"Michael Beck, James Remar, Dorsey Wright, Brian Tyler",22.49,Action
The Muppet Movie,1979,95,7.6,74.0,33241,James Frawley,"Jim Henson, Frank Oz, Jerry Nelson, Richard Hunt",76.66,Adventure
Escape from Alcatraz,1979,112,7.6,76.0,123470,Don Siegel,"Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau",43.0,Action
Watership Down,1978,91,7.6,64.0,34055, John Hubley,"John Hurt, Richard Briers, Ralph Richardson, Michael Graham Cox",,Animation
Close Encounters of the Third Kind,1977,138,7.6,90.0,187029,Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",132.09,Drama
The Long Goodbye,1973,112,7.6,87.0,26802,Robert Altman,"Elliott Gould, Nina van Pallandt, Sterling Hayden, Mark Rydell",0.96,Comedy
Giù la testa,1971,157,7.6,77.0,30590,Sergio Leone,"Rod Steiger, James Coburn, Romolo Valli, Maria Monti",0.7,Drama
Kelly's Heroes,1970,144,7.6,,45753, Hutton,"Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor",1.38,Adventure
The Jungle Book,1967,78,7.6,65.0,168228,Wolfgang Reitherman,"Phil Harris, Sebastian Cabot, Louis Prima, Bruce Reitherman",141.84,Animation
A Hard Day's Night,1964,87,7.6,96.0,40735,Richard Lester,"John Lennon, Paul McCartney, George Harrison, Ringo Starr",13.78,Comedy
Breakfast at Tiffany's,1961,115,7.6,76.0,168713,Blake Edwards,"Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen",,Comedy
Giant,1956,201,7.6,84.0,34594,George Stevens,"Elizabeth Taylor, Rock Hudson, James Dean, Carroll Baker",,Drama
From Here to Eternity,1953,118,7.6,85.0,43868,Fred Zinnemann,"Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed",30.5,Drama
Lifeboat,1944,97,7.6,78.0,26791,Alfred Hitchcock,"Tallulah Bankhead, John Hodiak, Walter Slezak, William Bendix",,Drama
The 39 Steps,1935,86,7.6,93.0,52688,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle",,Crime
