Name,Year,duration,Rating,Meta_score,Votes,Director,cast,Gross,genre
Empire of the Sun,1987,153,7.7,62.0,117191,Steven Spielberg,"Christian Bale, John Malkovich, Miranda Richardson, Nigel Havers",22.24,Action
Der Name der Rose,1986,130,7.7,,103052,Jacques Annaud,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin",7.15,Crime
Blue Velvet,1986,120,7.7,76.0,183640,David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern",8.55,Drama
The Purple Rose of Cairo,1985,82,7.7,75.0,47592,Woody Allen,"Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman",10.63,Comedy
After Hours,1985,97,7.7,90.0,61224,Martin Scorsese,"Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong",10.6,Comedy
Zelig,1983,79,7.7,,40264,Woody Allen,"Woody Allen, Mia Farrow, Patrick Horgan, John Buckwalter",11.8,Comedy
The Verdict,1982,129,7.7,77.0,36627,Sidney Lumet,"Paul Newman, Charlotte Rampling, Jack Warden, James Mason",54.0,Drama
Star Trek II: The Wrath of Khan,1982,113,7.7,67.0,113741,Nicholas Meyer,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",78.91,Action
First Blood,1982,93,7.7,61.0,229927,Ted Kotcheff,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney",47.21,Action
Ordinary People,1980,124,7.7,86.0,47763,Robert Redford,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",54.8,Drama
Airplane!,1980,88,7.7,78.0,217570, Jerry Zucker,"Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar",83.4,Comedy
Rupan sansei: Kariosutoro no shiro,1979,100,7.7,71.0,27616,Hayao Miyazaki,"Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi, Makio Inoue",,Animation
Halloween,1978,91,7.7,87.0,235473,John Carpenter,"Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes",47.0,Horror
Le locataire,1976,126,7.7,71.0,40545,Roman Polanski,"Roman Polanski, Isabelle Adjani, Melvyn Douglas, Jo Van Fleet",1.92,Drama
Love and Death,1975,85,7.7,89.0,36472,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet, Frank Adu",,Comedy
The Taking of Pelham One Two Three,1974,104,7.7,68.0,27093,Joseph Sargent,"Walter Matthau, Robert Shaw, Martin Balsam, Hector Elizondo",0.85,Action
Blazing Saddles,1974,93,7.7,73.0,127379,Mel Brooks,"Cleavon Little, Gene Wilder, Slim Pickens, Harvey Korman",119.5,Comedy
Serpico,1973,130,7.7,87.0,111575,Sidney Lumet,"Al Pacino, John Randolph, Jack Kehoe, Biff McGuire",29.8,Biography
Enter the Dragon,1973,102,7.7,83.0,97820,Robert Clouse,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri",25.0,Action
Deliverance,1972,109,7.7,80.0,99777,John Boorman,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox",7.06,Adventure
The French Connection,1971,104,7.7,94.0,111705,William Friedkin,"Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco",15.63,Action
Dirty Harry,1971,102,7.7,90.0,144824,Don Siegel,"Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni",35.9,Action
Where Eagles Dare,1968,158,7.7,63.0,52553, Hutton,"Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark",,Action
The Odd Couple,1968,105,7.7,86.0,32048,Gene Saks,"Jack Lemmon, Walter Matthau, John Fiedler, Herb Edelman",44.53,Comedy
The Dirty Dozen,1967,150,7.7,73.0,67802,Robert Aldrich,"Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes",45.3,Action
Belle de jour,1967,100,7.7,,40882,uel,"Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page",0.03,Drama
A Man for All Seasons,1966,120,7.7,72.0,31870,Fred Zinnemann,"Paul Scofield, Wendy Hiller, Robert Shaw, Leo McKern",28.35,Biography
Repulsion,1965,105,7.7,91.0,49468,Roman Polanski,"Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux",,Drama
Zulu,1964,138,7.7,77.0,36463,Cy Endfield,"Stanley Baker, Jack Hawkins, Ulla Jacobsson, James Booth",,Drama
Goldfinger,1964,110,7.7,87.0,175898,Guy Hamilton,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton",51.08,Action
The Birds,1963,119,7.7,90.0,173631,Alfred Hitchcock,"Rod Taylor, Tippi Hedren, Jessica Tandy, Suzanne Pleshette",11.4,Drama
Cape Fear,1962,106,7.7,76.0,26734, Lee Thompson,"Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin",,Drama
Peeping Tom,1960,101,7.7,,31877,Michael Powell,"Karlheinz Böhm, Anna Massey, Moira Shearer, Maxine Audley",0.08,Drama
The Magnificent Seven,1960,128,7.7,74.0,88579,John Sturges,"Yul Brynner, Steve McQueen, Charles Bronson, Eli Wallach",4.91,Action
Les yeux sans visage,1960,90,7.7,90.0,28148,Georges Franju,"Pierre Brasseur, Alida Valli, Juliette Mayniel, Alexandre Rignault",0.05,Drama
Invasion of the Body Snatchers,1956,80,7.7,92.0,45405,Don Siegel,"Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan",,Drama
Rebel Without a Cause,1955,111,7.7,89.0,84449,Nicholas Ray,"James Dean, Natalie Wood, Sal Mineo, Jim Backus",,Drama
The Ladykillers,1955,91,7.7,91.0,26938,Alexander Mackendrick,"Alec Guinness, Peter Sellers, Cecil Parker, Herbert Lom",,Comedy
Sabrina,1954,113,7.7,72.0,60154,Billy Wilder,"Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden",,Comedy
The Quiet Man,1952,129,7.7,,35442,John Ford,"John Wayne, Maureen O'Hara, Barry Fitzgerald, Ward Bond",10.55,Comedy
The Day the Earth Stood Still,1951,92,7.7,,76683,Robert Wise,"Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe",,Drama
The African Queen,1951,105,7.7,91.0,72220,John Huston,"Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull",0.54,Adventure
Gilda,1946,110,7.7,,28380,Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia",,Drama
Fantasia,1940,125,7.7,96.0,89606, Ben Sharpsteen,"Leopold Stokowski, Deems Taylor, The Philadelphia Orchestra, Corey Burton",76.41,Animation
The Invisible Man,1933,71,7.7,87.0,31185,James Whale,"Claude Rains, Gloria Stuart, William Harrigan, Henry Travers",,Horror
Dark Waters,2019,126,7.6,73.0,66100,Todd Haynes,"Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Pullman",,Biography
Searching,2018,102,7.6,71.0,144000,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La",26.02,Drama
Once Upon a Time... in Hollywood,2019,161,7.6,83.0,572662,Quentin Tarantino,"Leonardo DiCaprio, Brad Pitt, Margot Robbie, Emile Hirsch",142.5,Comedy
Nelyubov,2017,127,7.6,86.0,30396,Andrey Zvyagintsev,"Maryana Spivak, Aleksey Rozin, Matvey Novikov, Marina Vasileva",0.57,Drama
The Florida Project,2017,111,7.6,92.0,97779,Sean Baker,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera",5.9,Drama
Just Mercy,2019,137,7.6,68.0,50087,Destin Daniel Cretton,"Michael B. Jordan, Jamie Foxx, Brie Larson, Charlie Pye Jr.",,Biography
Gifted,2017,101,7.6,,102341,Marc Webb,"Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer",24.8,Drama
The Peanut Butter Falcon,2019,97,7.6,70.0,69959, Michael Schwartz,"Zack Gottsagen, Ann Owens, Dakota Johnson, Bruce Dern",13.12,Adventure
Victoria,2015,138,7.6,77.0,54015,Sebastian Schipper,"Laia Costa, Frederick Lau, Franz Rogowski, Burak Yigit",,Crime
Mustang,2015,97,7.6,83.0,36365,ven,"Günes Sensoy, Doga Zeynep Doguslu, Tugba Sunguroglu, Elit Iscan",0.85,Drama
Guardians of the Galaxy Vol. 2,2017,136,7.6,67.0,582326,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel",389.81,Action
Baby Driver,2017,113,7.6,86.0,449247,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González",107.83,Action
Only the Brave,2017,134,7.6,72.0,59983,Joseph Kosinski,"Josh Brolin, Miles Teller, Jeff Bridges, Jennifer Connelly",18.34,Action
Bridge of Spies,2015,142,7.6,81.0,291410,Steven Spielberg,"Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan",72.31,Drama
Incredibles 2,2018,118,7.6,80.0,255855,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner",608.58,Animation
Moana,2016,107,7.6,81.0,279551, Chris Williams,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",248.76,Animation
Sicario,2015,121,7.6,82.0,377738,Denis Villeneuve,"Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal",46.89,Action
Creed,2015,133,7.6,82.0,250535,Ryan Coogler,"Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad",109.77,Drama
Leviafan,2014,140,7.6,92.0,50097,Andrey Zvyagintsev,"Aleksey Serebryakov, Elena Lyadova, Roman Madyanov, Vladimir Vdovichenkov",1.09,Crime
Hell or High Water,2016,102,7.6,88.0,207252,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham",26.86,Action
Philomena,2013,98,7.6,77.0,95047,Stephen Frears,"Judi Dench, Steve Coogan, Sophie Kennedy Clark, Mare Winningham",37.71,Biography
Dawn of the Planet of the Apes,2014,130,7.6,79.0,414651,Matt Reeves,"Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",208.55,Action
El cuerpo,2012,112,7.6,,59078,Oriol Paulo,"Jose Coronado, Hugo Silva, Belén Rueda, Aura Garrido",,Mystery
Serbuan maut,2011,101,7.6,73.0,192187,Gareth Evans,"Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah",4.11,Action
End of Watch,2012,109,7.6,68.0,230258,David Ayer,"Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera",41.0,Action
Kari-gurashi no Arietti,2010,94,7.6,80.0,82718,Hiromasa Yonebayashi,"Amy Poehler, Will Arnett, Mirai Shida, Ryûnosuke Kamiki",19.2,Animation
A Star Is Born,2018,136,7.6,88.0,342265,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg",215.29,Drama
True Grit,2010,110,7.6,80.0,315646, Joel Coen,"Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin",171.24,Drama
Hævnen,2010,118,7.6,65.0,38734,Susanne Bier,"Mikael Persbrandt, Trine Dyrholm, Markus Rygaard, Wil Johnson",1.01,Drama
Despicable Me,2010,95,7.6,72.0,505632, Chris Renaud,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",251.51,Animation
50/50,2011,100,7.6,72.0,317277,Jonathan Levine,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard",35.01,Comedy
Kick-Ass,2010,117,7.6,66.0,528872,Matthew Vaughn,"Aaron Taylor-Johnson, Nicolas Cage, Chloë Grace Moretz, Garrett M. Brown",48.07,Action
Celda 211,2009,113,7.6,,64426,n,"Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón",,Action
Moneyball,2011,133,7.6,87.0,376379,Bennett Miller,"Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",75.61,Biography
La piel que habito,2011,120,7.6,70.0,140934,var,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes",3.19,Drama
